Scheme number: 0. Matrix A x Matrix B: [[0, 1, 1], [1, 1, 0]] x [[1], [0], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 19. Matrix A x Matrix B: [[0, 1, 0], [1, 0, 0]] x [[1], [0], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 20. Matrix A x Matrix B: [[0, 0, 1], [0, 1, 0]] x [[0], [1], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 21. Matrix A x Matrix B: [[1, 0, 0], [0, 0, 0]] x [[1], [0], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 22. Matrix A x Matrix B: [[1, 1, 1], [1, 1, 0]] x [[1], [0], [0]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 23. Matrix A x Matrix B: [[1, 1, 1], [0, 1, 1]] x [[1], [1], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 24. Matrix A x Matrix B: [[1, 1, 1], [1, 1, 1]] x [[0], [0], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 25. Matrix A x Matrix B: [[1, 1, 1], [1, 0, 0]] x [[1], [0], [1]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 26. Matrix A x Matrix B: [[1, 0, 0], [0, 1, 0]] x [[0], [0], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 27. Matrix A x Matrix B: [[0, 1, 1], [1, 1, 0]] x [[0], [1], [0]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 28. Matrix A x Matrix B: [[0, 0, 0], [0, 1, 1]] x [[1], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 29. Matrix A x Matrix B: [[1, 1, 1], [0, 1, 1]] x [[1], [0], [1]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 30. Matrix A x Matrix B: [[1, 1, 0], [1, 1, 0]] x [[1], [0], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 31. Matrix A x Matrix B: [[0, 0, 0], [1, 0, 1]] x [[0], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 32. Matrix A x Matrix B: [[0, 0, 1], [1, 0, 0]] x [[1], [0], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 33. Matrix A x Matrix B: [[0, 1, 0], [1, 0, 1]] x [[1], [0], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 34. Matrix A x Matrix B: [[0, 1, 0], [1, 0, 1]] x [[0], [1], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 35. Matrix A x Matrix B: [[1, 1, 1], [1, 1, 1]] x [[0], [1], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 36. Matrix A x Matrix B: [[1, 1, 0], [0, 0, 1]] x [[1], [0], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 37. Matrix A x Matrix B: [[0, 1, 1], [0, 1, 0]] x [[0], [0], [1]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 38. Matrix A x Matrix B: [[1, 1, 1], [0, 0, 1]] x [[0], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 39. Matrix A x Matrix B: [[0, 1, 0], [1, 0, 1]] x [[0], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 40. Matrix A x Matrix B: [[1, 1, 0], [1, 1, 1]] x [[1], [0], [1]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 41. Matrix A x Matrix B: [[0, 0, 1], [1, 0, 1]] x [[0], [1], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 42. Matrix A x Matrix B: [[1, 1, 1], [1, 0, 1]] x [[1], [0], [0]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 43. Matrix A x Matrix B: [[0, 0, 1], [1, 0, 1]] x [[0], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 44. Matrix A x Matrix B: [[0, 1, 0], [1, 0, 0]] x [[0], [0], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 45. Matrix A x Matrix B: [[0, 1, 0], [0, 0, 0]] x [[0], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 46. Matrix A x Matrix B: [[1, 0, 1], [0, 1, 1]] x [[0], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 47. Matrix A x Matrix B: [[0, 0, 1], [1, 1, 0]] x [[0], [1], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 48. Matrix A x Matrix B: [[1, 0, 1], [1, 0, 1]] x [[1], [0], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 49. Matrix A x Matrix B: [[0, 0, 1], [0, 1, 0]] x [[1], [1], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 50. Matrix A x Matrix B: [[1, 0, 0], [1, 0, 1]] x [[1], [0], [0]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 51. Matrix A x Matrix B: [[1, 1, 0], [1, 0, 0]] x [[1], [0], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 52. Matrix A x Matrix B: [[1, 0, 0], [1, 1, 0]] x [[1], [1], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 53. Matrix A x Matrix B: [[0, 0, 0], [1, 0, 0]] x [[1], [1], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 54. Matrix A x Matrix B: [[0, 1, 0], [1, 1, 1]] x [[1], [0], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 55. Matrix A x Matrix B: [[1, 0, 0], [0, 1, 0]] x [[0], [1], [1]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 56. Matrix A x Matrix B: [[0, 1, 0], [0, 0, 1]] x [[1], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 57. Matrix A x Matrix B: [[0, 0, 0], [0, 0, 0]] x [[1], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 58. Matrix A x Matrix B: [[1, 1, 1], [0, 1, 0]] x [[1], [0], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 59. Matrix A x Matrix B: [[1, 1, 0], [1, 0, 0]] x [[0], [0], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 60. Matrix A x Matrix B: [[1, 0, 0], [0, 1, 1]] x [[1], [0], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 61. Matrix A x Matrix B: [[1, 0, 0], [1, 0, 0]] x [[0], [0], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 62. Matrix A x Matrix B: [[0, 0, 1], [0, 0, 1]] x [[1], [0], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 63. Matrix A x Matrix B: [[1, 1, 0], [0, 0, 0]] x [[0], [1], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 64. Matrix A x Matrix B: [[1, 0, 0], [0, 0, 1]] x [[1], [1], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 65. Matrix A x Matrix B: [[1, 0, 0], [1, 0, 1]] x [[1], [0], [1]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 66. Matrix A x Matrix B: [[0, 1, 1], [1, 1, 0]] x [[1], [0], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 67. Matrix A x Matrix B: [[1, 0, 1], [1, 1, 0]] x [[1], [0], [1]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 68. Matrix A x Matrix B: [[1, 1, 1], [0, 0, 1]] x [[0], [1], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 69. Matrix A x Matrix B: [[0, 1, 0], [0, 0, 1]] x [[0], [0], [1]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 70. Matrix A x Matrix B: [[1, 1, 0], [1, 1, 1]] x [[0], [0], [1]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 71. Matrix A x Matrix B: [[1, 1, 0], [0, 0, 1]] x [[0], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 72. Matrix A x Matrix B: [[0, 1, 1], [0, 0, 0]] x [[1], [1], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 73. Matrix A x Matrix B: [[0, 1, 0], [1, 1, 1]] x [[0], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 74. Matrix A x Matrix B: [[0, 0, 0], [0, 0, 0]] x [[0], [1], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 75. Matrix A x Matrix B: [[0, 1, 1], [0, 0, 1]] x [[1], [1], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 76. Matrix A x Matrix B: [[0, 1, 0], [1, 1, 0]] x [[0], [1], [0]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 77. Matrix A x Matrix B: [[0, 0, 1], [0, 1, 1]] x [[0], [0], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 78. Matrix A x Matrix B: [[0, 1, 1], [1, 1, 0]] x [[0], [0], [1]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 79. Matrix A x Matrix B: [[1, 1, 1], [1, 1, 0]] x [[0], [1], [0]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 80. Matrix A x Matrix B: [[1, 0, 0], [0, 1, 0]] x [[0], [0], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 81. Matrix A x Matrix B: [[1, 0, 0], [1, 0, 0]] x [[0], [0], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 82. Matrix A x Matrix B: [[0, 0, 0], [0, 1, 0]] x [[1], [1], [1]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 83. Matrix A x Matrix B: [[0, 0, 1], [0, 1, 1]] x [[0], [1], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 84. Matrix A x Matrix B: [[1, 1, 1], [0, 1, 0]] x [[0], [1], [0]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 85. Matrix A x Matrix B: [[0, 1, 0], [1, 0, 1]] x [[0], [1], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 86. Matrix A x Matrix B: [[1, 1, 0], [0, 1, 0]] x [[1], [1], [1]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 87. Matrix A x Matrix B: [[1, 1, 1], [1, 0, 1]] x [[1], [0], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 88. Matrix A x Matrix B: [[0, 1, 0], [0, 0, 1]] x [[0], [0], [0]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 89. Matrix A x Matrix B: [[0, 1, 1], [1, 1, 1]] x [[0], [1], [0]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 90. Matrix A x Matrix B: [[0, 1, 1], [0, 0, 0]] x [[1], [1], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 91. Matrix A x Matrix B: [[1, 1, 1], [1, 0, 1]] x [[1], [0], [0]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 92. Matrix A x Matrix B: [[1, 1, 0], [0, 0, 1]] x [[0], [0], [1]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 93. Matrix A x Matrix B: [[1, 0, 1], [0, 1, 1]] x [[0], [1], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 94. Matrix A x Matrix B: [[1, 0, 0], [0, 1, 0]] x [[0], [0], [1]]. Naive scheme result [0, 0]. Brent equations scheme result [0, 0]
Scheme number: 95. Matrix A x Matrix B: [[1, 0, 1], [0, 0, 1]] x [[1], [0], [0]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 96. Matrix A x Matrix B: [[0, 1, 1], [0, 0, 0]] x [[1], [0], [1]]. Naive scheme result [1, 0]. Brent equations scheme result [1, 0]
Scheme number: 97. Matrix A x Matrix B: [[0, 0, 1], [0, 1, 1]] x [[1], [0], [1]]. Naive scheme result [1, 1]. Brent equations scheme result [1, 1]
Scheme number: 98. Matrix A x Matrix B: [[0, 0, 1], [1, 0, 0]] x [[1], [1], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
Scheme number: 99. Matrix A x Matrix B: [[0, 0, 1], [1, 1, 0]] x [[0], [1], [0]]. Naive scheme result [0, 1]. Brent equations scheme result [0, 1]
